zip,state,latitude,longitude,county
85309,AZ,33.53,-112.38,maricopa
85310,AZ,33.71,-112.17,maricopa
85311,AZ,33.53,-112.17,maricopa
85312,AZ,33.619999999999997,-112.18,maricopa
85313,AZ,33.6,-112.16,maricopa
85318,AZ,33.659999999999997,-112.18,maricopa
85320,AZ,33.81,-113.18,maricopa
85321,AZ,32.15,-112.62,pima
85322,AZ,33.18,-112.79,maricopa
85323,AZ,33.44,-112.31,maricopa
85324,AZ,34.130000000000003,-112.13,yavapai
85325,AZ,33.93,-113.86,la paz
85326,AZ,33.380000000000003,-112.55,maricopa
85327,AZ,33.82,-111.96,maricopa
85328,AZ,33.32,-114.64,la paz
85329,AZ,33.43,-112.29,maricopa
85331,AZ,33.799999999999997,-111.93,maricopa
85332,AZ,34.21,-112.97,yavapai
85333,AZ,32.94,-113.34,yuma
85334,AZ,33.64,-114.44,la paz
85335,AZ,33.590000000000003,-112.33,maricopa
85336,AZ,32.53,-114.76,yuma
85337,AZ,32.99,-112.9,maricopa
85338,AZ,33.369999999999997,-112.38,maricopa
85339,AZ,33.299999999999997,-112.2,maricopa
85340,AZ,33.51,-112.36,maricopa
85341,AZ,32,-112.75,pima
85342,AZ,33.979999999999997,-112.44,maricopa
85343,AZ,33.32,-112.7,maricopa
85344,AZ,33.99,-114.23,la paz
85345,AZ,33.57,-112.25,maricopa
85346,AZ,33.659999999999997,-114.23,la paz
85347,AZ,32.76,-113.87,yuma
85348,AZ,33.72,-113.65,la paz
85349,AZ,32.49,-114.77,yuma
85350,AZ,32.53,-114.71,yuma
85351,AZ,33.6,-112.28,maricopa
85352,AZ,32.68,-113.97,yuma
85353,AZ,33.42,-112.27,maricopa
85354,AZ,33.57,-113.02,maricopa
85355,AZ,33.549999999999997,-112.43,maricopa
85356,AZ,32.700000000000003,-114.17,yuma
85357,AZ,34.06,-113.51,la paz
85358,AZ,33.96,-112.74,maricopa
85359,AZ,33.68,-114.22,la paz
85360,AZ,34.79,-113.37,mohave
85361,AZ,33.72,-112.65,maricopa
85362,AZ,34.26,-112.78,yavapai
85363,AZ,33.58,-112.3,maricopa
85364,AZ,32.68,-114.66,yuma
85365,AZ,32.72,-114.51,yuma
85366,AZ,32.68,-114.59,yuma
85367,AZ,32.68,-114.38,yuma
85369,AZ,32.69,-114.67,yuma
85371,AZ,34,-114.4,la paz
85372,AZ,33.61,-112.28,maricopa
85373,AZ,33.68,-112.31,maricopa
85374,AZ,33.64,-112.38,maricopa
85375,AZ,33.67,-112.36,maricopa
85376,AZ,33.659999999999997,-112.35,maricopa
85377,AZ,33.82,-111.9,maricopa
85378,AZ,33.630000000000003,-112.34,maricopa
85379,AZ,33.6,-112.37,maricopa
85380,AZ,33.68,-112.24,maricopa
85381,AZ,33.61,-112.23,maricopa
85382,AZ,33.65,-112.24,maricopa
85383,AZ,33.76,-112.24,maricopa
85385,AZ,33.61,-112.23,maricopa
85387,AZ,33.71,-112.4,maricopa
85388,AZ,33.61,-112.46,maricopa
85390,AZ,33.9,-112.9,maricopa
85392,AZ,33.47,-112.29,maricopa
85395,AZ,33.47,-112.39,maricopa
85396,AZ,33.56,-112.57,maricopa
85501,AZ,33.619999999999997,-110.7,gila
85502,AZ,33.39,-110.78,gila
85530,AZ,33.07,-110.25,graham
85531,AZ,32.86,-109.78,graham
85532,AZ,33.409999999999997,-110.83,gila
85533,AZ,33.270000000000003,-109.27,greenlee
85534,AZ,32.76,-109.07,greenlee
85535,AZ,32.97,-109.91,graham
85536,AZ,32.979999999999997,-109.98,graham
85539,AZ,33.4,-110.97,gila
85540,AZ,33.04,-109.37,greenlee
85541,AZ,34.19,-111.17,gila
85542,AZ,33.21,-110.53,gila
85543,AZ,33,-109.88,graham
85544,AZ,34.32,-111.54,gila
85545,AZ,33.619999999999997,-111.03,gila
85546,AZ,32.700000000000003,-109.65,graham
85547,AZ,34.25,-111.28,gila
85548,AZ,32.770000000000003,-109.71,graham
85550,AZ,33.409999999999997,-110.11,graham
85551,AZ,32.799999999999997,-109.61,graham
85552,AZ,32.82,-109.78,graham
85553,AZ,33.83,-111.26,gila
85554,AZ,34.08,-111.01,gila
85601,AZ,31.59,-111.3,pima
85602,AZ,32.19,-110.38,cochise
85603,AZ,31.44,-109.87,cochise
85605,AZ,32.28,-109.5,cochise
85606,AZ,32.06,-109.91,cochise
85607,AZ,31.54,-109.46,cochise
85608,AZ,31.52,-109.2,cochise
85609,AZ,32.020000000000003,-110.04,cochise
85610,AZ,31.73,-109.7,cochise
85611,AZ,31.57,-110.54,santa cruz
85613,AZ,31.52,-110.36,cochise
85614,AZ,31.84,-111.06,pima
85615,AZ,31.44,-110.23,cochise
85616,AZ,31.73,-110.31,cochise
85617,AZ,31.55,-109.69,cochise
85618,AZ,32.68,-110.62,pinal
85619,AZ,32.380000000000003,-110.75,pima
85620,AZ,31.34,-109.94,cochise
85621,AZ,31.45,-110.83,santa cruz
85622,AZ,31.76,-110.85,pima
85623,AZ,32.64,-110.84,pinal
85624,AZ,31.53,-110.71,santa cruz
85625,AZ,31.86,-109.33,cochise
85626,AZ,31.35,-109.57,cochise
85627,AZ,32.090000000000003,-110.22,cochise
85628,AZ,31.41,-110.89,santa cruz
85629,AZ,31.91,-110.9,pima
85630,AZ,31.88,-110.18,cochise
85631,AZ,32.619999999999997,-110.59,pinal
85632,AZ,32,-109.21,cochise
85633,AZ,31.66,-111.5,pima
85634,AZ,32,-111.93,pima
85635,AZ,31.59,-110.17,cochise
85636,AZ,31.46,-110.18,cochise
85637,AZ,31.75,-110.66,pima
